UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Kevin Ellis,@KevEll007,2020-11-25T22:49:12.000Z,"Replying to 
@Andywelsh777
 @DavidHazell6
 and 6 othersfamily, returning from their long exile in Manchester, were able put their militant Islamist beliefs into practice. They absorbed the toxic variant of Islam espoused by the al-Qaeda clones, taking advantage of their military experience honed in the Iraq war. The Independent",,1,,
Big Bear,@UKBigBear01,2020-11-25T22:48:44.000Z," idiots Dan just idiots RT 
@dbongino
: Biden National Security Adviser Pick Said “Al-Qaeda Is On Our Side” in Syria Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",👇,,,
NOLA Patriot,@nolapatriotgal,2020-11-25T22:46:36.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
abel,@fantastico_,2020-11-25T22:44:14.000Z,"Replying to 
@AmbassadorRiceWould you have a dialogue with al-qaeda leaders who killed US civilians and soldiers? No. You can't save your criminal friends who killed troops. Ethiopia is not a US colony & does not take orders from you. We are free people and do not have a slave mentality that you display.",,,,
J.James,@trojanboy123,2020-11-25T22:43:44.000Z,"Replying to 
@dbonginoHe was not lying  Being that Al-Qaeda is a CIA created and run group.  and when he says the word ""OUR"" he doesn't mean you and me and all patriotic Americans. he meant OUR as in him and left are on the same side as al-Qaeda and want to destroy America",,,,
gigigirau83,@gigigirau83,2020-11-25T22:35:40.000Z,"Mr Sullivan; Biden’s selection for
National Security Adviser, said that  ‘Al-Qaeda in Syria in on our side “ 
Feel safe yet ?!",,2,2,4
D Russell,@DRussel55238296,2020-11-25T22:35:13.000Z,"Replying to 
@dbonginoThese people would see how much ""Al-Qaeda is on our side"" as they cut off their heads, if given the opportunity.",,,,1
WONJI SHOA,@ShoaWonji,2020-11-25T22:32:20.000Z,"Replying to 
@KebedeZerituTHIS IS NOT FOR THE FIRST TIME TO Killing AMHARA ETHNIC TPLF MAFIA CRIMINAL GROUPS 27+YEARS THE KILLID AMHARA THE ARE HORN OF AFRICA Isis OT Al-Qaeda ALSO THE KILLID Northern national defense command On the bad 11 o’clock local time in Ethiopia",,,,
Veronica Cosenza,@veronica67ny,2020-11-25T22:31:43.000Z,"Biden National Security Adviser Pick Said “Al-Qaeda Is On Our Side” in Syria
https://api.parler.com/l/4zKQRThe following media includes potentially sensitive content. Change settings
View",,,,
Tertium Quid,@TertiumQuid3,2020-11-25T22:29:58.000Z,"Replying to 
@RepWextonToday we also mark the day President granted a full pardon to retired General Michael Flynn. 

Gen. Flynn served his country with distinction, from the battlefields of Afghanistan to Iraq. He helped dismantle Al-Qaeda network.  Tragically, he was targeted by Obama’s DOJ",,1,,1
Kathy A,@andersonf150,2020-11-25T22:28:28.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan Bongino

I’m sure ISIS will be, too.Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
Constituent,@808constituent,2020-11-25T22:22:20.000Z,"Of coooooooruse.
Why is liar, Brennan even on TV? 
He is a apologist for war crimes and arming the enemy(al-Qaeda) in Syria.Quote Tweet
Andrew Solender
@AndrewSolender
 · 4h
Asked by @brikeilarcnn about @RonWyden calling Mike Morell a ""torture apologist"" and urging Biden not to nominate him for CIA, @JohnBrennan says:

""He would be well advised to not make such charges against patriots like Michael Morell... Ron Wyden knows not of what he speaks.""",🌺 🎗 ⏳ 🗽,1,,3
Constituent,@808constituent,2020-11-25T22:22:20.000Z,"Of coooooooruse.
Why is liar, Brennan even on TV? 
He is a apologist for war crimes and arming the enemy(al-Qaeda) in Syria.Quote Tweet
Andrew Solender
@AndrewSolender
 · 4h
Asked by @brikeilarcnn about @RonWyden calling Mike Morell a ""torture apologist"" and urging Biden not to nominate him for CIA, @JohnBrennan says:

""He would be well advised to not make such charges against patriots like Michael Morell... Ron Wyden knows not of what he speaks.""
1:06
35.7K views",🌺 🎗 ⏳ 🗽,1,,3
Rick,@1musashi1,2020-11-25T22:19:22.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan Bongino. Oh shiiteBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
